1;10084
2;1032
3;1037
4;1093
5;1096
6;1143
7;1160
8;1161
9;1163
10;1186
11;1188
12;1190
13;1195
14;1205
15;1219
16;1243
17;1276
18;1295
19;1309
20;1335
21;1336
22;1338
23;1360
24;1392
25;1394
26;1395
27;1406
28;1407
29;1413
30;1414
31;1415
32;1416
33;1419
34;1421
35;1422
36;1434
37;1463
38;1465
39;1477
40;1488
41;1550
42;1553
43;1554
44;1555
45;1556
46;1557
47;1566
48;1569
49;1578
50;1583
51;1586
52;1587
53;1588
54;1590
55;1611
56;1619
57;1631
58;1641
59;1646
60;1649
61;1651
62;1655
63;1659
64;1660
65;1669
66;1670
67;1678
68;1680
69;1683
70;1697
71;1704
72;1710
73;1712
74;1714
75;1715
76;1720
77;1729
78;1730
79;1737
80;1749
81;1810
82;1811
83;1812
84;1813
85;1826
86;1827
87;1841
88;1854
89;1867
90;1871
91;1873
92;1884
93;1885
94;1886
95;1898
96;1899
97;1902
98;1912
99;1921
100;1925
101;1940
102;1941
103;1942
104;1943
105;1954
106;1957
107;1967
108;1968
109;1973
110;1994
111;2000-0
112;2002
113;2012
114;2021
115;2022
116;2037
117;2038
118;2051
119;2052
120;2060
121;2064
122;2176
123;2231
124;2303
125;2304
126;2305
127;2308
128;2318
129;2366
130;2369
131;2422
132;2425
133;2427
134;2429
135;2445
136;2452
137;2458
138;2460
139;2468
140;2469
141;2506
142;2519
143;2521
144;2522
145;2534
146;2540
147;2559
148;2566
149;2572
150;2573
151;451
152;460
153;469
154;474
155;530
156;535
157;536
158;597
159;608
160;752
161;816
162;820
163;832
164;847
165;877
166;897
167;909
168;947
169;964
170;980
171;985
172;986
